system_module,applicable_page,interface_id,interface_name,document_path,business_use,phase_one_recommended,priority,remarks
仓库,仓库与库存页,LX-8DE4E360B561,查询仓位流水,/docs/Warehouse/wareHouseBinStatement.md,查询仓位流水,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-4B9473A2D2E1,查询收货单列表,/docs/Warehouse/PurchaseReceiptOrderList.md,查询收货单列表,是,P0,规则初判；全量接入前由业务负责人确认。
采购,采购管理页,LX-4B9473A2D2E1,查询收货单列表,/docs/Warehouse/PurchaseReceiptOrderList.md,查询收货单列表,是,P0,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-4B9473A2D2E1,查询收货单列表,/docs/Warehouse/PurchaseReceiptOrderList.md,查询收货单列表,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-AA0068524F96,创建待收货的收货单,/docs/Warehouse/createReceiptOrder.md,支持创建【仓库】>【收货管理】中的收货单，状态为“待收货”,否,P2,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-AA0068524F96,创建待收货的收货单,/docs/Warehouse/createReceiptOrder.md,支持创建【仓库】>【收货管理】中的收货单，状态为“待收货”,否,P2,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-E8B767C41774,收货单到货,/docs/Warehouse/Receive.md,收货单到货,否,P3,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-FE893F657641,收货单快捷入库,/docs/Warehouse/FastReceive.md,收货单快捷入库,否,P3,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-186837F0F7C4,收货单-编辑备注,/docs/Warehouse/receiptOrderUpdateOrderInfo.md,支持编辑指定收货单的备注信息。,否,P2,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-186837F0F7C4,收货单-编辑备注,/docs/Warehouse/receiptOrderUpdateOrderInfo.md,支持编辑指定收货单的备注信息。,否,P2,规则初判；全量接入前由业务负责人确认。
售后,售后与客服页,LX-1C62776E886A,查询销售退货单列表,/docs/Warehouse/ReturnList.md,查询销售退货单列表,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-1C62776E886A,查询销售退货单列表,/docs/Warehouse/ReturnList.md,查询销售退货单列表,是,P0,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-1C62776E886A,查询销售退货单列表,/docs/Warehouse/ReturnList.md,查询销售退货单列表,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-ECAEE8038F87,查询质检单列表,/docs/Warehouse/ReceiptOrderQcList.md,查询质检单列表,是,P0,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-ECAEE8038F87,查询质检单列表,/docs/Warehouse/ReceiptOrderQcList.md,查询质检单列表,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-5D311ED3B89E,查询质检单详情,/docs/Warehouse/qualityInspectionOrderDetail.md,查询质检单详情,是,P0,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-5D311ED3B89E,查询质检单详情,/docs/Warehouse/qualityInspectionOrderDetail.md,查询质检单详情,是,P0,规则初判；全量接入前由业务负责人确认。
售后,售后与客服页,LX-BE1057CB168C,待收货退货单快捷入库,/docs/Warehouse/returnOrderFastStorageIn.md,待收货退货单快捷入库,否,P1,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-BE1057CB168C,待收货退货单快捷入库,/docs/Warehouse/returnOrderFastStorageIn.md,待收货退货单快捷入库,否,P1,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-BE1057CB168C,待收货退货单快捷入库,/docs/Warehouse/returnOrderFastStorageIn.md,待收货退货单快捷入库,否,P1,规则初判；全量接入前由业务负责人确认。
售后,售后与客服页,LX-E6696C712FDB,订单退款,/docs/Sale/RefundOrder.md,订单退款,否,P1,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-E6696C712FDB,订单退款,/docs/Sale/RefundOrder.md,订单退款,否,P1,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-E6696C712FDB,订单退款,/docs/Sale/RefundOrder.md,订单退款,否,P1,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-B6250EFFD833,添加入库单,/docs/Warehouse/OrderAdd.md,支持添加本地仓库入库单，并增加入库仓库库存,否,P2,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-B6250EFFD833,添加入库单,/docs/Warehouse/OrderAdd.md,支持添加本地仓库入库单，并增加入库仓库库存,否,P2,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-A78D6BB9DC24,查询入库单列表,/docs/Warehouse/inboundgetOrders.md,查询入库单列表,是,P0,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-A78D6BB9DC24,查询入库单列表,/docs/Warehouse/inboundgetOrders.md,查询入库单列表,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-032E4A4848FB,撤销入库单,/docs/Warehouse/SetInboundOrderRevoke.md,撤销入库单,否,P3,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-032E4A4848FB,撤销入库单,/docs/Warehouse/SetInboundOrderRevoke.md,撤销入库单,否,P3,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-FEFC2C739C57,添加出库单,/docs/Warehouse/OrderAddOut.md,支持添加本地仓库出库单，推送成功后扣减出库仓库库存,否,P2,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-FEFC2C739C57,添加出库单,/docs/Warehouse/OrderAddOut.md,支持添加本地仓库出库单，推送成功后扣减出库仓库库存,否,P2,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-179D3B8A9F63,查询出库单列表,/docs/Warehouse/outboundgetOrders.md,查询出库单列表,是,P0,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-179D3B8A9F63,查询出库单列表,/docs/Warehouse/outboundgetOrders.md,查询出库单列表,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-F23293A702BB,查询销售出库单详情,/docs/Warehouse/WmsOrderDetail.md,支持查询ERP中【仓库】>【销售出库单】数据，即自发货订单销售出库单,是,P0,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-F23293A702BB,查询销售出库单详情,/docs/Warehouse/WmsOrderDetail.md,支持查询ERP中【仓库】>【销售出库单】数据，即自发货订单销售出库单,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-C0FCAFE34051,撤销出库单,/docs/Warehouse/SetOutboundOrderRevoke.md,撤销出库单,否,P3,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-C0FCAFE34051,撤销出库单,/docs/Warehouse/SetOutboundOrderRevoke.md,撤销出库单,否,P3,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-5C1C08254572,创建加工单 / 拆分单,/docs/Warehouse/addStorageProcessOrder.md,创建加工单 / 拆分单,否,P2,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-5C1C08254572,创建加工单 / 拆分单,/docs/Warehouse/addStorageProcessOrder.md,创建加工单 / 拆分单,否,P2,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-29AE97DABE08,加工单列表,/docs/Warehouse/getProcessOrderLists.md,加工单列表,是,P0,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-29AE97DABE08,加工单列表,/docs/Warehouse/getProcessOrderLists.md,加工单列表,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-4E3A3DA2B70A,查询调拨单列表,/docs/Warehouse/getStorageAllocationList.md,支持查询本地仓库调拨单列表,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-41BB2D2886D2,创建待收货/已完成的调拨单,/docs/Warehouse/AddAllocationOrder.md,支持创建“待收货/已完成”状态调拨单，请求成功后，对应调拨单在列表“待收货/已完成”状态,否,P2,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-41BB2D2886D2,创建待收货/已完成的调拨单,/docs/Warehouse/AddAllocationOrder.md,支持创建“待收货/已完成”状态调拨单，请求成功后，对应调拨单在列表“待收货/已完成”状态,否,P2,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-A6E36DA67F9C,调拨单全部收货,/docs/Warehouse/receiveAllocationOrder.md,支持将系统“待收货“状态的调拨单全部收货，单据状态转为“已完成“，并增加入库仓的库存,否,P3,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-A6E36DA67F9C,调拨单全部收货,/docs/Warehouse/receiveAllocationOrder.md,支持将系统“待收货“状态的调拨单全部收货，单据状态转为“已完成“，并增加入库仓的库存,否,P3,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-C59B5D5BB158,调拨单分批收货,/docs/Warehouse/partlyReceiveAllocationOrder.md,支持将系统待收货状态的调拨单部分收货,否,P3,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-C59B5D5BB158,调拨单分批收货,/docs/Warehouse/partlyReceiveAllocationOrder.md,支持将系统待收货状态的调拨单部分收货,否,P3,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-375342860CAD,调拨单结束到货,/docs/Warehouse/finishReceiveAllocationOrder.md,调拨单结束到货,否,P3,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-375342860CAD,调拨单结束到货,/docs/Warehouse/finishReceiveAllocationOrder.md,调拨单结束到货,否,P3,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-50E3A9271BE9,删除调拨单,/docs/Warehouse/DeleteStorageAllocationList.md,支持操作删除状态为待审批，待配货，待调拨的调拨单,否,P3,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-FC8B93582D77,撤销调拨单,/docs/Warehouse/CancelStorageAllocationList.md,撤销调拨单,否,P3,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-9909117FD1E7,查询调整单列表,/docs/Warehouse/getStorageAdjustOrderList.md,查询调整单列表,是,P0,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-9909117FD1E7,查询调整单列表,/docs/Warehouse/getStorageAdjustOrderList.md,查询调整单列表,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-E6238EC4E51A,创建已完成的数量调整单,/docs/Warehouse/addAdjustmentOrder.md,支持推送已完成的数量调整单至领星ERP，并调整对应数量,否,P2,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-E6238EC4E51A,创建已完成的数量调整单,/docs/Warehouse/addAdjustmentOrder.md,支持推送已完成的数量调整单至领星ERP，并调整对应数量,否,P2,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-A054BADFE10F,创建已完成的换标调整单,/docs/Warehouse/addRebrandAdjustmentOrder.md,创建已完成的换标调整单,否,P2,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-A054BADFE10F,创建已完成的换标调整单,/docs/Warehouse/addRebrandAdjustmentOrder.md,创建已完成的换标调整单,否,P2,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-8F4BA5E003C6,创建已完成的SKU调整单,/docs/Warehouse/addSkuAdjustmentOrder.md,创建已完成的SKU调整单,否,P2,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-8F4BA5E003C6,创建已完成的SKU调整单,/docs/Warehouse/addSkuAdjustmentOrder.md,创建已完成的SKU调整单,否,P2,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-8F4BA5E003C6,创建已完成的SKU调整单,/docs/Warehouse/addSkuAdjustmentOrder.md,创建已完成的SKU调整单,否,P2,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-D5353A465E6D,查询盘点单列表,/docs/Warehouse/checkGetOrderList.md,查询盘点单列表,是,P0,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-D5353A465E6D,查询盘点单列表,/docs/Warehouse/checkGetOrderList.md,查询盘点单列表,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-642D33967219,查询盘点单详情,/docs/Warehouse/checkGetOrderDetail.md,查询盘点单详情,是,P0,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-642D33967219,查询盘点单详情,/docs/Warehouse/checkGetOrderDetail.md,查询盘点单详情,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-2D7501EFFF14,创建已完成的盘点单,/docs/Warehouse/checkAddOrder.md,支持创建已完成的盘点单，盘点类型默认为“SKU+仓位”盘点,否,P2,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-2D7501EFFF14,创建已完成的盘点单,/docs/Warehouse/checkAddOrder.md,支持创建已完成的盘点单，盘点类型默认为“SKU+仓位”盘点,否,P2,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-2D7501EFFF14,创建已完成的盘点单,/docs/Warehouse/checkAddOrder.md,支持创建已完成的盘点单，盘点类型默认为“SKU+仓位”盘点,否,P2,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-75157159D29E,获取自定义入库类型,/docs/Warehouse/inboundGetCustomTypes.md,获取自定义入库类型,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-10C1BC0E9648,获取自定义出库类型,/docs/Warehouse/outboundGetCustomTypes.md,获取自定义出库类型,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-5EBF326CAE51,创建待调拨的调拨单,/docs/Warehouse/submitAllocationOrder.md,创建待调拨的调拨单,否,P2,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-5EBF326CAE51,创建待调拨的调拨单,/docs/Warehouse/submitAllocationOrder.md,创建待调拨的调拨单,否,P2,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-F395006EFE91,入库单确认入库,/docs/Warehouse/InboundOrderConfirm.md,入库单确认入库,否,P2,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-F395006EFE91,入库单确认入库,/docs/Warehouse/InboundOrderConfirm.md,入库单确认入库,否,P2,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-02B0DCBC4860,出库单确认出库,/docs/Warehouse/OutboundOrderConfirm.md,出库单确认出库,否,P2,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-02B0DCBC4860,出库单确认出库,/docs/Warehouse/OutboundOrderConfirm.md,出库单确认出库,否,P2,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-24115FEF3839,调整单确认调整,/docs/Warehouse/AdjustOrderConfirm.md,异步任务，查询结果请调用：[查询确认调整异步任务结果](docs/Warehouse/GetAdjustOrderConfirmResult.md),否,P2,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-24115FEF3839,调整单确认调整,/docs/Warehouse/AdjustOrderConfirm.md,异步任务，查询结果请调用：[查询确认调整异步任务结果](docs/Warehouse/GetAdjustOrderConfirmResult.md),否,P2,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-E726A7FC946C,查询调整单确认调整异步结果,/docs/Warehouse/GetAdjustOrderConfirmResult.md,查询调整单确认调整异步结果,否,P2,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-E726A7FC946C,查询调整单确认调整异步结果,/docs/Warehouse/GetAdjustOrderConfirmResult.md,查询调整单确认调整异步结果,否,P2,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-ECC5B6E072BC,删除出库单,/docs/Warehouse/outboundOrderDelete.md,删除出库单,否,P2,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-ECC5B6E072BC,删除出库单,/docs/Warehouse/outboundOrderDelete.md,删除出库单,否,P2,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-1FA55392B264,创建已完成的成本补录单,/docs/Warehouse/FinishCostChangeOrder.md,创建已完成的成本补录单,否,P2,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-1FA55392B264,创建已完成的成本补录单,/docs/Warehouse/FinishCostChangeOrder.md,创建已完成的成本补录单,否,P2,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-7773B7A1FDF9,查询海外仓备货单列表,/docs/Warehouse/listInbound.md,支持查询海外仓备货单列表，对应系统【仓库】>【海外仓备货单】数据,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-EB2B3813F515,查询备货单详情,/docs/Warehouse/OverSeasStockDetail.md,查询备货单详情,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-EBADE37CF17C,获取备货单号,/docs/Warehouse/listOrderNos.md,获取备货单号,是,P0,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-EBADE37CF17C,获取备货单号,/docs/Warehouse/listOrderNos.md,获取备货单号,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-9AE1466FB085,删除备货单,/docs/Warehouse/DeleteOverSeaStockOrder.md,支持操作删除状态为待审批，待配货，待发货，已驳回的海外仓备货单,否,P2,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-9AE1466FB085,删除备货单,/docs/Warehouse/DeleteOverSeaStockOrder.md,支持操作删除状态为待审批，待配货，待发货，已驳回的海外仓备货单,否,P2,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-01FE108B1B92,更新备货单,/docs/Warehouse/updateInbound.md,更新备货单,否,P3,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-25557AAD1424,更新备货单物流信息,/docs/Warehouse/UpdateLogistics.md,更新备货单物流信息,否,P3,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-E5E2F516B966,查询备货单装箱信息,/docs/Warehouse/getPackingData.md,查询备货单装箱信息,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-D8BC30F67A4B,上传备货单装箱信息,/docs/Warehouse/packing.md,创建“待发货/待收货/已完成”状态备货单时，支持上传备货单装箱信息。,否,P2,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-ACB0219BB470,查询备货单收货记录,/docs/Warehouse/GetReceiveGoodRecords.md,查询备货单收货记录,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-3B84A6C4C9B4,海外仓备货单发货,/docs/Warehouse/SendInbound.md,支持将系统已有的海外仓备货单状态调整为“待收货”，并扣减发货仓库库存,否,P2,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-87182E99B1B7,备货单分批收货,/docs/Warehouse/inboundBatchesReceipt.md,备货单分批收货,否,P3,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-3E19FAF15A8D,备货单结束到货,/docs/Warehouse/inboundCompleteReceipt.md,备货单结束到货,否,P3,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-5567B5700B78,创建待发货/待收货/已完成的备货单,/docs/Warehouse/CreateInbound.md,支持创建“待发货/待收货/已完成”状态备货单，请求成功后，对应备货单在列表“待发货/待收货/已完成”状态。,否,P2,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-814E67414272,查询系统产品与第三方海外仓产品映射列表,/docs/Warehouse/matchSkuList.md,支持查询本地产品与第三方海外仓产品映射列表,是,P0,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-814E67414272,查询系统产品与第三方海外仓产品映射列表,/docs/Warehouse/matchSkuList.md,支持查询本地产品与第三方海外仓产品映射列表,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-87EAA59FF5C7,查询海外仓sku配对列表,/docs/Warehouse/OverseaWarehouseMatchList.md,查询海外仓sku配对列表,否,P2,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-87EAA59FF5C7,查询海外仓sku配对列表,/docs/Warehouse/OverseaWarehouseMatchList.md,查询海外仓sku配对列表,否,P2,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-AAFAE3E2B6D6,获取第三方SKU标签PDF文件,/docs/Warehouse/productLabel.md,支持获取谷仓、西邮智仓、易仓的第三方SKU标签PDF文件,是,P0,规则初判；全量接入前由业务负责人确认。
产品,产品管理页,LX-AAFAE3E2B6D6,获取第三方SKU标签PDF文件,/docs/Warehouse/productLabel.md,支持获取谷仓、西邮智仓、易仓的第三方SKU标签PDF文件,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-BED54283FB2B,获取第三方箱唛,/docs/Warehouse/packageLabel.md,支持获取谷仓、西邮智仓、易仓的箱唛PDF文件,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-DE77858CC887,查询移除入库单列表,/docs/Warehouse/removalInboundList.md,查询移除入库单列表,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-E8270027E4C1,备货单分配库存,/docs/Warehouse/overseaStockOrderAllocate.md,备货单分配库存,否,P3,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-E8270027E4C1,备货单分配库存,/docs/Warehouse/overseaStockOrderAllocate.md,备货单分配库存,否,P3,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-FD9302CF208A,查询销售出库单列表,/docs/Warehouse/WmsOrderList.md,支持查询ERP中【仓库】>【销售出库单】数据，即自发货订单销售出库单【默认返回一个月内审核出库的数据，超过一个月请加上时间入参】,是,P0,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-FD9302CF208A,查询销售出库单列表,/docs/Warehouse/WmsOrderList.md,支持查询ERP中【仓库】>【销售出库单】数据，即自发货订单销售出库单【默认返回一个月内审核出库的数据，超过一个月请加上时间入参】,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-A8841B7061A1,物流下单 - 编辑运单号/跟踪号,/docs/Warehouse/setTrackingNo.md,物流下单 - 编辑运单号/跟踪号,否,P2,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-890B84A34002,设置包裹尺寸,/docs/Warehouse/setOrderPackageSize.md,设置包裹尺寸,否,P2,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-890B84A34002,设置包裹尺寸,/docs/Warehouse/setOrderPackageSize.md,设置包裹尺寸,否,P2,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-F596F7E8C481,查询销售出库单物流面单,/docs/Warehouse/wmsOrderGetWmsLogisticsLabels.md,查询销售出库单物流面单,是,P0,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-F596F7E8C481,查询销售出库单物流面单,/docs/Warehouse/wmsOrderGetWmsLogisticsLabels.md,查询销售出库单物流面单,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-330811625C41,销售出库单截单,/docs/Warehouse/cancelWmsOrder.md,注： 海外仓截单任务为异步执行。接口提交成功后，系统会将截单请求推送至海外仓处理。 可以通过调用[查询订单管理订单列表](docs/MultiPlatform/V2/MultiPlatOrderV2)接口，并查看返回数据中的 data>>list>>status 字段，以获取截单任务的最终执行状态和结果。,否,P3,规则初判；全量接入前由业务负责人确认。
销售,销售与订单页,LX-330811625C41,销售出库单截单,/docs/Warehouse/cancelWmsOrder.md,注： 海外仓截单任务为异步执行。接口提交成功后，系统会将截单请求推送至海外仓处理。 可以通过调用[查询订单管理订单列表](docs/MultiPlatform/V2/MultiPlatOrderV2)接口，并查看返回数据中的 data>>list>>status 字段，以获取截单任务的最终执行状态和结果。,否,P3,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-633648A48963,装箱任务-生成装箱任务,/docs/Warehouse/PackingTaskAdd.md,装箱任务-生成装箱任务,否,P3,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-9B0AEF588990,装箱任务-批量编辑装箱信息,/docs/Warehouse/PackingTaskBatchEdit.md,装箱任务-批量编辑装箱信息,否,P2,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-5094B5DD4252,装箱任务-删除装箱任务,/docs/Warehouse/PackingTaskDel.md,装箱任务-删除装箱任务,否,P2,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-8C46310BDBDA,装箱任务-任务详情,/docs/Warehouse/PackingTaskDetail.md,装箱任务-任务详情,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-DBA03B840847,装箱任务-标记已完成,/docs/Warehouse/PackingTaskFinish.md,装箱任务-标记已完成,否,P2,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-EE7D15BC8C4F,装箱任务-单据列表,/docs/Warehouse/PackingTaskRelateSnList.md,查询可创建装箱任务的列表,是,P0,规则初判；全量接入前由业务负责人确认。
仓库,仓库与库存页,LX-051118326D63,装箱任务-任务列表,/docs/Warehouse/PackingTaskList.md,查询装箱任务列表，支持按仓库、装箱员、装箱情况、单据类型等条件筛选,是,P0,规则初判；全量接入前由业务负责人确认。
工作台,数据总览 / 待评估接口,LX-E95A3442D310,查询头程物流渠道列表,/docs/Logistics/ChannelList.md,对应系统【物流】-》【头程物流】-》【物流渠道】数据,否,P1,规则初判；全量接入前由业务负责人确认。
工作台,数据总览 / 待评估接口,LX-725F26FDC523,查询物流-头程物流商,/docs/Logistics/QueryHeadLogisticsProvider.md,支持查询物流-头程物流商，默认返回已启用现结api对接的物流商。,否,P1,规则初判；全量接入前由业务负责人确认。
工作台,数据总览 / 待评估接口,LX-F83A1BAC3521,批量添加头程物流商,/docs/Logistics/AddProviders.md,支持批量创建头程物流商到领星ERP,否,P2,规则初判；全量接入前由业务负责人确认。
工作台,数据总览 / 待评估接口,LX-AF600FDF4D6E,批量添加头程物流方式,/docs/Logistics/AddChannels.md,支持批量添加头程物流方式到领星ERP，对应系统功能【物流】>【头程物流】>【物流渠道】,否,P2,规则初判；全量接入前由业务负责人确认。
工作台,数据总览 / 待评估接口,LX-043952293C81,查询已启用的自发货物流方式,/docs/Logistics/listUsedLogisticsType.md,支持查询已启用的自发货物流方式，对应系统【物流】>【物流管理】当中的 API 物流、三方仓物流、平台物流、自定义物流列表,否,P2,规则初判；全量接入前由业务负责人确认。
工作台,数据总览 / 待评估接口,LX-7F9838344C2B,查询运输方式列表,/docs/Logistics/transportMethodList.md,支持查询自定义运输方式，对应系统【设置】>【业务配置】>【物流】当中的运输方式,否,P1,规则初判；全量接入前由业务负责人确认。
工作台,数据总览 / 待评估接口,LX-081EC270CC8F,头程对账列表,/docs/Logistics/HeadLogisticsReconciliationList.md,查询头程物流对账列表，对应系统【供应链】>【头程物流对账】数据,否,P1,规则初判；全量接入前由业务负责人确认。
财务,财务与对账页,LX-EE2593BAC4F5,FBM物流对账-确认/批量确认,/docs/Logistics/LogisticsBillConfirm.md,对FBM物流账单进行确认或批量确认操作,否,P2,规则初判；全量接入前由业务负责人确认。
财务,财务与对账页,LX-022E3FB1A8C6,查询费用类型列表,/docs/Finance/feeManagementType.md,查询费用类型列表,否,P1,规则初判；全量接入前由业务负责人确认。
财务,财务与对账页,LX-A623F7D01F1B,查询费用明细列表,/docs/Finance/feeManagementList.md,查询费用明细列表,否,P1,规则初判；全量接入前由业务负责人确认。
财务,财务与对账页,LX-7ED46019A235,创建费用单,/docs/Finance/feeManagementCreate.md,创建费用单,否,P2,规则初判；全量接入前由业务负责人确认。
财务,财务与对账页,LX-20735537E141,编辑费用单,/docs/Finance/feeManagementEdit.md,编辑费用单,否,P2,规则初判；全量接入前由业务负责人确认。
财务,财务与对账页,LX-6EA203F42077,作废费用单,/docs/Finance/feeManagementDiscard.md,作废费用单,否,P2,规则初判；全量接入前由业务负责人确认。
